HPSA Discipline Class,HPSA Geography Identification Number,HPSA Component Type Description,HPSA Name,HPSA ID,County Equivalent Name,Designation Type,HPSA Population Type,HPSA Status,HPSA Score,HPSA Designation Date,HPSA Designation Last Update Date,Data Warehouse Record Create Date
Primary Care,06001409100,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001409200,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001409300,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001409400,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001410400,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001431000,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001431100,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001431200,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001432200,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001432300,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001432600,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001433102,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
Primary Care,06001433103,Census Tract,MSSA 2h-Hayward Northeast/San Leandro North Central,1067870961,Alameda,Geographic HPSA,Geographic Population,Designated,8,9/1/2017,9/1/2017,1/8/2021
