Enrollment Month,Plan Type,County,Plan Name,Count of Enrollees,Count of Enrollees Annotation Code,Count of Enrollees Annotation Description
2007-01,COHS,Monterey,Central California Alliance for Health/Monterey,53819,None,None
2007-01,COHS,Napa,Partnership HP of CA/Napa,10788,None,None
2007-01,COHS,Orange,CalOPTIMA / Orange,293311,None,None
2007-01,COHS,San Mateo,Hlth Plan of San Mateo,49791,None,None
2007-01,COHS,Santa Barbara,Santa Barbara Hlth Authrty,54248,None,None
2007-01,COHS,Santa Cruz,Central California Alliance for Health/Santa Cruz,30653,None,None
2007-01,COHS,Solano,Partnership HP of CA/Solano,51874,None,None
2007-01,COHS,Yolo,Partnership HealthPlan of CA/Yolo,23515,None,None
2007-01,Dental,Los Angeles,Access Dental Plan/LA,61119,None,None
2007-01,Dental,Los Angeles,American Health Guard - Dental/LA,15430,None,None
2007-01,Dental,Los Angeles,Care1st Health Plan Dental,15820,None,None
2007-01,Dental,Los Angeles,Community Dental Svcs Inc (LA),5202,None,None
2007-01,Dental,Los Angeles,Health Net of California,30568,None,None
2007-01,Dental,Los Angeles,Liberty Dental Plan of CA (LA),5549,None,None
2007-01,Dental,Los Angeles,Safeguard Dental Inc.,28905,None,None
2007-01,Dental,Los Angeles,Western Dental Svcs/LA,53277,None,None
2007-01,Dental,Riverside,Safeguard Dental Inc.,129,None,None
2007-01,Dental,Riverside,Western Dental Svcs (Riverside),266,None,None
2007-01,Dental,Sacramento,Access Dental Plan/Sacto,50974,None,None
2007-01,Dental,Sacramento,Community Dental Svcs./Sacto,13220,None,None
2007-01,Dental,Sacramento,Liberty Dental Plan of CA/Sacto,25018,None,None
2007-01,Dental,Sacramento,Western Dental Svcs/Sacto,74173,None,None
2007-01,Dental,San Bernardino,Care1st Health Plan Dental,208,None,None
2007-01,Dental,San Bernardino,Safeguard Dental Inc.,772,None,None
2007-01,Dental,San Bernardino,Western Dental Svcs (San Bernardino),569,None,None
2007-01,Geographic Managed Care,Sacramento,Anthem Blue Cross Partnership Plan/Sac,82233,None,None
2007-01,Geographic Managed Care,Sacramento,Care 1st Healthplan,4300,None,None
2007-01,Geographic Managed Care,Sacramento,Health Net/Sac,27891,None,None
2007-01,Geographic Managed Care,Sacramento,Kaiser Foundation/Sac,19657,None,None
2007-01,Geographic Managed Care,Sacramento,Molina Healthcare of California/Sacramento,15986,None,None
2007-01,Geographic Managed Care,San Diego ,Blue Cross San Diego GMC,25608,None,None
2007-01,Geographic Managed Care,San Diego ,Care 1st Healthplan (SD),2627,None,None
2007-01,Geographic Managed Care,San Diego ,Comm Hlth Grp/San Diego,70093,None,None
2007-01,Geographic Managed Care,San Diego ,Health Net/San Diego,15422,None,None
2007-01,Geographic Managed Care,San Diego ,Kaiser/San Diego,9663,None,None
2007-01,Geographic Managed Care,San Diego ,Molina Healthcare of California/San Diego,45366,None,None
2007-01,Geographic Managed Care,Sacramento,Western Hlth Adv/Sac,12260,None,None
2007-01,PACE,Alameda,OnLok Senior Hlth dba OnLok Lifeways/Alameda,85,None,None
2007-01,PACE,San Francisco,OnLok Senior Hlth dba OnLok Lifeways/San Fran,933,None,None
2007-01,Prepaid Health Plan,Marin,Kaiser/Marin,598,None,None
2007-01,Prepaid Health Plan,Sonoma,Kaiser/Sonoma,1452,None,None
2007-01,Primary Care Case Mgmt,Los Angeles,AIDS HlthCare Found/ LA,802,None,None
2007-01,SCAN,Los Angeles,SCAN (Nurs hm cert) / LA,1593,None,None
2007-01,SCAN,Los Angeles,SCAN Hlth Plan / LA,2265,None,None
2007-01,SCAN,Riverside,SCAN (Nurs hm cert)/Rvrsd,509,None,None
2007-01,SCAN,Riverside,SCAN Hlth Plan/Rvrsd,570,None,None
2007-01,SCAN,San Bernardino,SCAN (Nurs hm cert)/S Ber,242,None,None
2007-01,SCAN,San Bernardino,SCAN Hlth Plan/San Bern,268,None,None
2007-01,Special Project,Alameda,Cntr Elders Indep/Alameda,372,None,None
2007-01,Special Project,Contra Costa,Center for Elders Independence,26,None,None
2007-01,Special Project,Los Angeles,AltaMed Hlth Sr. Buena Care/LA,396,None,None
2007-01,Special Project,Sacramento,Sutter SeniorCare/Sac,188,None,None
2007-01,Special Project,San Francisco,Family Mosaic Prj / SF,136,None,None
2007-01,Special Project,Yolo,Sutter Senior Care / Yolo,,1,Cell suppressed for small numbers
2007-01,Two-Plan,Alameda,Alameda Alliance for Hlth,73072,None,None
2007-01,Two-Plan,Alameda,Anthem Blue Cross Partnership Plan/Alameda,27670,None,None
2007-01,Two-Plan,Contra Costa,Anthem Blue Cross Partnership Plan/CC,10421,None,None
2007-01,Two-Plan,Contra Costa,Contra Costa Hlth Plan,43233,None,None
2007-01,Two-Plan,Fresno,Anthem Blue Cross Partnership Plan/Fresno,143766,None,None
2007-01,Two-Plan,Fresno,Health Net /Fresno,26584,None,None
2007-01,Two-Plan,Kern,Health Net/Kern,21626,None,None
2007-01,Two-Plan,Kern,Kern Hlth Systems,91896,None,None
2007-01,Two-Plan,Los Angeles,Health Net / LA,440576,None,None
2007-01,Two-Plan,Los Angeles,LA CARE,737412,None,None
2007-01,Two-Plan,Riverside,Inland Emp Hlth Plan/Rvrsd,120010,None,None
2007-01,Two-Plan,Riverside,Molina Healthcare of California/Riverside,33277,None,None
2007-01,Two-Plan,San Bernardino,Inland Emp Hlth Plan/S Ber,131480,None,None
2007-01,Two-Plan,San Bernardino,Molina Healthcare of California/San Bernardino,50319,None,None
2007-01,Two-Plan,San Francisco,Anthem Blue Cross Partnership Plan/SF,12159,None,None
2007-01,Two-Plan,San Francisco,San Francisco Hlth Plan,31385,None,None
2007-01,Two-Plan,San Joaquin,Anthem Blue Cross Partnership Plan/San Joaquin,27219,None,None
2007-01,Two-Plan,San Joaquin,Hlth Plan of San Joaquin,56367,None,None
2007-01,Two-Plan,Santa Clara,Anthem Blue Cross Partnership Plan/SC,33035,None,None
2007-01,Two-Plan,Santa Clara,Santa Clara Family Hlth,72569,None,None
2007-01,Two-Plan,Stanislaus,Anthem Blue Cross Partnership Plan/Stanislaus,45381,None,None
2007-01,Two-Plan,Stanislaus,Health Net/Stanislaus,13340,None,None
2007-01,Two-Plan,Tulare,Anthem Blue Cross Partnership Plan/Tulare,69603,None,None
2007-01,Two-Plan,Tulare,Health Net/Tulare,15262,None,None
2007-02,COHS,Monterey,Central California Alliance for Health/Monterey,54575,None,None
2007-02,COHS,Napa,Partnership HP of CA/Napa,10873,None,None
2007-02,COHS,Orange,CalOPTIMA / Orange,292974,None,None
2007-02,COHS,San Mateo,Hlth Plan of San Mateo,49763,None,None
